GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fuzzy,com.alexandria.db,DatabaseConnection,3,5,0,0,1,1,1,1,1,1
fuzzy,com.alexandria.view.components.shared.form.validation,FileValidator,1,112,2,15,1,18,2,12,0,5
fuzzy,com.alexandria.view.components.shared.form.validation,TextValidator,0,19,0,4,0,5,0,4,0,2
fuzzy,com.alexandria.view.components.shared.form.validation,EmailValidator,2,21,2,2,1,5,2,3,0,3
fuzzy,com.alexandria.view.components.shared.form.validation,TextAreaValidator,0,19,0,2,0,5,0,3,0,2
fuzzy,com.alexandria.view.components.shared.form.validation,PasswordValidator,0,13,0,2,0,4,0,3,0,2
fuzzy,com.alexandria.dao,TextDAO,2,266,4,8,0,65,4,8,0,6
fuzzy,com.alexandria.dao,TextComparisonDAO,2,210,4,8,0,51,4,8,0,6
fuzzy,com.alexandria.dao,TextComparisonTextDAO,2,161,2,6,0,39,2,7,0,5
fuzzy,com.alexandria.dao,UserDAO,3,246,5,9,1,60,5,8,0,6
fuzzy,com.alexandria.dao,TermComparisonDAO,2,226,4,8,0,55,4,8,0,6
fuzzy,com.alexandria.dao,TermComparisonTextDAO,2,161,2,6,0,39,2,7,0,5
fuzzy,com.alexandria.dao,TermAnalysisDAO,2,303,4,10,0,74,4,10,0,7
fuzzy,com.alexandria.dao,QuotationDAO,2,303,4,10,0,74,4,10,0,7
fuzzy,com.alexandria.dao,SearchResultDAO,2,303,4,10,0,74,4,10,0,7
fuzzy,com.alexandria.dao,TextAnalysisDAO,2,284,4,10,0,69,4,10,0,7
fuzzy,com.alexandria.controller,MainController,46,0,0,0,15,0,4,0,4,0
fuzzy,com.alexandria.controller,ProfileController,157,207,14,20,48,48,15,15,7,6
fuzzy,com.alexandria.controller,UserSessionController,0,102,0,10,0,33,0,15,0,10
fuzzy,com.alexandria.controller,ProfileController.Result,0,21,0,0,0,3,0,3,0,3
fuzzy,com.alexandria.view.components.shared.modal,Modal,17,103,7,1,4,31,5,8,1,8
fuzzy,com.alexandria.service.analysis,TermAnalysisResult,0,21,0,0,0,1,0,1,0,1
fuzzy,com.alexandria.service.analysis,TermComparisonResult.TermTextOccurrence,8,23,3,3,2,4,3,1,0,1
fuzzy,com.alexandria.service.analysis,TextComparisonResult,4,21,2,2,2,8,2,1,0,1
fuzzy,com.alexandria.service.analysis,TextFragment,0,15,0,0,0,1,0,1,0,1
fuzzy,com.alexandria.service.analysis,TermComparisonResult,7,20,3,3,2,6,3,1,0,1
