GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fuzzy,com.alexandria.db,DatabaseConnection,3,5,0,0,1,1,1,1,1,1
fuzzy,com.alexandria.view.components.shared.form.validation,EmailValidator,23,0,4,0,6,0,5,0,3,0
fuzzy,com.alexandria.view.components.shared.form.validation,TextAreaValidator,0,19,0,2,0,5,0,3,0,2
fuzzy,com.alexandria.view.components.shared.form.validation,PasswordValidator,0,13,0,2,0,4,0,3,0,2
fuzzy,com.alexandria.view.components.shared.form.validation,FileValidator,1,112,2,15,1,18,2,12,0,5
fuzzy,com.alexandria.view.components.shared.form.validation,TextValidator,0,19,0,4,0,5,0,4,0,2
fuzzy,com.alexandria.dao,TextComparisonTextDAO,2,141,2,6,0,41,2,7,0,5
fuzzy,com.alexandria.dao,TermComparisonDAO,2,208,6,10,0,57,6,8,0,6
fuzzy,com.alexandria.dao,TermAnalysisDAO,2,277,6,12,0,77,6,10,0,7
fuzzy,com.alexandria.dao,SearchResultDAO,2,277,6,12,0,77,6,10,0,7
fuzzy,com.alexandria.dao,TextComparisonDAO,2,192,6,10,0,53,6,8,0,6
fuzzy,com.alexandria.dao,TextDAO,2,248,6,10,0,67,6,8,0,6
fuzzy,com.alexandria.dao,UserDAO,3,238,9,13,1,62,9,8,0,6
fuzzy,com.alexandria.dao,TermComparisonTextDAO,2,141,2,6,0,41,2,7,0,5
fuzzy,com.alexandria.dao,QuotationDAO,2,277,6,12,0,77,6,10,0,7
fuzzy,com.alexandria.dao,TextAnalysisDAO,2,258,6,12,0,72,6,10,0,7
fuzzy,com.alexandria.controller,ProjectController.Result,0,26,0,0,0,3,0,3,0,3
fuzzy,com.alexandria.controller,AnalyseController.SearchOutcome,31,0,0,0,3,0,3,0,3,0
fuzzy,com.alexandria.controller,TextAnalysisController,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.controller,AnalyseController.TextAnalysisOutcome,26,0,0,0,3,0,3,0,3,0
fuzzy,com.alexandria.controller,TermAnalysisController,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.controller,MainController.new Task() {...},18,0,0,0,2,0,2,0,2,0
fuzzy,com.alexandria.controller,MainController,158,0,7,0,45,0,13,0,9,0
fuzzy,com.alexandria.controller,ProfileController,214,150,19,15,63,32,20,10,8,5
fuzzy,com.alexandria.controller,AnalyseController,201,0,12,0,46,0,15,0,9,0
fuzzy,com.alexandria.controller,ProjectController,16,149,5,19,5,44,5,12,0,5
fuzzy,com.alexandria.controller,ProfileController.Result,0,21,0,0,0,3,0,3,0,3
fuzzy,com.alexandria.controller,UserSessionController,28,74,6,4,12,22,4,11,1,9
fuzzy,com.alexandria.view.components.shared.modal,Modal,120,0,8,0,35,0,13,0,9,0
fuzzy,com.alexandria.view.components.analyse_screen.tool_kit,SearchBar,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.analyse_screen.tool_kit,AnalysisFilters,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.service.analysis,TextAnalysisResult,21,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.service.analysis,WordFrequency,18,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.service.analysis,SearchSettings,19,0,0,0,2,0,2,0,2,0
fuzzy,com.alexandria.service.analysis,TermAnalysisResult,21,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.service.analysis,TextFragment,15,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.service.analysis,SearchMatch,18,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.shared.search,SearchBar,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.service,ValidationService,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.shared.filter,FilterBar,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view,MainView,130,0,0,0,34,0,13,0,13,0
fuzzy,com.alexandria.view.screens,CompareScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,LibraryScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,ArchiveScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,AnalyseScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,UserGuideScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,SettingsScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,ProfileScreen,296,0,2,0,84,0,34,0,33,0
fuzzy,com.alexandria.view.components.side_navbar,SideNavbarNavigation,216,0,12,0,47,0,19,0,13,0
fuzzy,com.alexandria.view.components.side_navbar,SideNavbar,308,0,0,0,68,0,15,0,15,0
fuzzy,com.alexandria.view.components.side_navbar,SideNavbarNavigation.NavItem,12,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria,ParsePdf,89,0,4,0,21,0,4,0,2,0
fuzzy,com.alexandria,Main,39,0,0,0,12,0,3,0,3,0
fuzzy,com.alexandria.view.router,Route,114,0,6,0,20,0,8,0,5,0
fuzzy,com.alexandria.view.router,ViewRouter,38,0,4,0,13,0,6,0,4,0
fuzzy,com.alexandria.utils,SessionStorage,14,18,2,0,2,6,2,3,1,3
fuzzy,com.alexandria.utils,PasswordHasher,3,42,0,8,1,9,1,6,1,2
fuzzy,com.alexandria.utils,JsonMapper,7,36,0,0,2,9,0,3,0,3
fuzzy,com.alexandria.utils,PdfTextExtraction,3,52,0,6,1,15,1,4,1,1
fuzzy,com.alexandria.view.components.analyse_screen,AnalysisView,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.analyse_screen,TermAnalysis,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.analyse_screen,TextViewer,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.analyse_screen,ContextCard,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.analyse_screen,TextAnalysis,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.analyse_screen,TermFrequencyCard,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.side_navbar.new_project,NewProjectModal,334,0,6,0,75,0,19,0,16,0
fuzzy,com.alexandria.view.components.side_navbar.new_project,UploadPdfForm.UploadData,12,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.view.components.side_navbar.new_project,UploadPdfForm,78,0,0,0,22,0,6,0,6,0
fuzzy,com.alexandria.view.components.side_navbar.new_project,NewProjectModal.Destination,0,15,0,0,0,2,0,1,0,1
fuzzy,com.alexandria.view.components.side_navbar.new_project,NewProjectModal.SourceType,0,15,0,0,0,2,0,1,0,1
fuzzy,com.alexandria.view.components.side_navbar.new_project,NewProjectModal.CreatedProject,0,21,0,0,0,1,0,1,0,1
fuzzy,com.alexandria.view.components.side_navbar.new_project,PasteTextForm,78,0,0,0,22,0,6,0,6,0
fuzzy,com.alexandria.view.components.side_navbar.new_project,PasteTextForm.PasteData,12,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.model,TermComparison,14,54,0,0,7,22,4,9,4,9
fuzzy,com.alexandria.model,TermAnalysis,18,63,0,0,9,25,5,10,5,10
fuzzy,com.alexandria.model,TextComparison,14,41,0,0,7,17,4,7,4,7
fuzzy,com.alexandria.model,User,3,81,0,0,2,33,1,14,1,14
fuzzy,com.alexandria.model,SearchResult,18,63,0,0,9,25,5,10,5,10
fuzzy,com.alexandria.model,TextComparisonText,11,15,0,0,6,6,3,3,3,3
fuzzy,com.alexandria.model,Quotation,18,63,0,0,9,25,5,10,5,10
fuzzy,com.alexandria.model,FileType,0,21,0,0,0,4,0,1,0,1
fuzzy,com.alexandria.model,TextAnalysis,18,50,0,0,9,20,5,8,5,8
fuzzy,com.alexandria.model,Text,14,80,0,0,7,32,4,13,4,13
fuzzy,com.alexandria.model,TermComparisonText,11,15,0,0,6,6,3,3,3,3
fuzzy,com.alexandria.view.components.shared.toggle,Toggle,142,0,14,0,36,0,14,0,7,0
fuzzy,com.alexandria.view.components.shared.form,Form,189,0,4,0,46,0,16,0,14,0
fuzzy,com.alexandria.view.components.shared.form,FormRenderer,411,0,33,0,72,0,37,0,19,0
fuzzy,com.alexandria.view.components.shared.form,FormValidator,1,81,2,14,1,21,2,9,0,3
fuzzy,com.alexandria.view.components.shared.form,FormField,18,43,5,5,4,14,6,5,1,5
fuzzy,com.alexandria.view.components.shared.form,Form.Builder,65,0,4,0,14,0,8,0,6,0
fuzzy,com.alexandria.view.components.shared.form,FormField.Type,0,33,0,0,0,6,0,1,0,1
fuzzy,com.alexandria.view.components.profile_screen,RegisterForm,114,0,0,0,20,0,6,0,6,0
fuzzy,com.alexandria.view.components.profile_screen,EditProfileForm,177,0,8,0,33,0,13,0,9,0
fuzzy,com.alexandria.view.components.profile_screen,AuthView,194,0,2,0,44,0,16,0,15,0
fuzzy,com.alexandria.view.components.profile_screen,LoginForm,67,0,0,0,17,0,6,0,6,0
fuzzy,com.alexandria.view.components.profile_screen,ChangePasswordForm,121,0,2,0,28,0,8,0,7,0
fuzzy,com.alexandria.view.components.profile_screen,ProfileView,592,0,16,0,100,0,27,0,19,0
